Award Date,Grant Number,Proposal Number,Grant Title,State Name,Grantee Name,Award Dollars,Program Name,Program Area Name
9/30/10,2010-48679-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,12024,N/A,N/A
9/30/09,2009-48679-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,12848,N/A,N/A
9/30/08,2008-48679-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,26180,N/A,N/A
9/30/03,2003-48326-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,2500,N/A,N/A
9/30/10,2010-48024-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,19231,N/A,N/A
9/30/09,2009-48024-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,28265,N/A,N/A
9/30/08,2008-48024-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,16904,N/A,N/A
9/30/07,2007-48024-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,16904,N/A,N/A
9/30/06,2006-48024-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,17085,N/A,N/A
9/30/05,2005-48024-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,17293,N/A,N/A
9/30/04,2004-48024-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,17293,N/A,N/A
9/30/03,2003-48024-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,15452,N/A,N/A
9/30/02,2002-48024-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,26967,N/A,N/A
2/21/24,NI24RREAFXXXG070,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,33064,Renewable Resources Extension Act,Other Programs
11/23/22,NI23RREAFXXXG063,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,82660,Renewable Resources Extension Act,Other Programs
12/6/21,NI22RREAFXXXG069,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,84108,Renewable Resources Extension Act,Other Programs
12/22/20,NI21RREAFXXXG041,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,84108,Renewable Resources Extension Act,Other Programs
4/22/20,NI20RREAFXXXG040,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,82660,Renewable Resources Extension Act,Other Programs
2/19/19,NI19RREAFXXXG056,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,82660,Renewable Resources Extension Act,Other Programs
3/19/18,NI18RREAFXXXG035,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,82660,Renewable Resources Extension Act,Other Programs
4/4/17,NI17RREAFXXXG053,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,82660,Renewable Resources Extension Act,Other Programs
9/30/10,2010-46000-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,78700,N/A,N/A
9/30/09,2009-46000-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,78543,N/A,N/A
9/30/08,2008-46000-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,78536,N/A,N/A
9/30/07,2007-46000-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,78786,N/A,N/A
9/30/06,2006-46000-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,79027,N/A,N/A
9/30/05,2005-46000-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,79826,N/A,N/A
9/30/04,2004-46000-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,79826,N/A,N/A
9/30/03,2003-46000-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,89508,N/A,N/A
9/30/02,2002-46000-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,89894,N/A,N/A
9/30/04,2004-41540-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,13732,N/A,N/A
9/30/03,2003-41540-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,20000,N/A,N/A
9/30/02,2002-41540-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,20000,N/A,N/A
9/30/08,2008-41531-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,134507,N/A,N/A
9/30/07,2007-41531-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,134507,N/A,N/A
9/30/06,2006-41531-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,134507,N/A,N/A
9/30/05,2005-41531-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,135257,N/A,N/A
9/30/04,2004-41531-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,130771,N/A,N/A
9/30/03,2003-41531-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,144923,N/A,N/A
9/30/02,2002-41531-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,145802,N/A,N/A
2/16/24,NI24EFNEPXXXG027,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,329005,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
11/22/22,NI23EFNEPXXXG059,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,822514,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
11/23/21,NI22EFNEPXXXG047,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,826635,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
12/11/20,NI21EFNEPXXXG052,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,826635,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
4/7/20,NI20EFNEPXXXG048,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,826635,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2/6/19,NI19EFNEPXXXG007,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,811784,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
1/24/18,NI18EFNEPXXXG042,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,795952,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
5/16/17,NI17EFNEPXXXG070,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,793168,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
9/30/10,2010-41510-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,796954,N/A,N/A
9/30/09,2009-41510-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,769375,N/A,N/A
9/30/08,2008-41510-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,742439,N/A,N/A
9/30/07,2007-41510-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,712496,N/A,N/A
9/30/06,2006-41510-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,712991,N/A,N/A
9/30/05,2005-41510-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,650506,N/A,N/A
9/30/04,2004-41510-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,577155,N/A,N/A
9/30/03,2003-41510-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,646330,N/A,N/A
9/30/02,2002-41510-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,652636,N/A,N/A
9/30/03,2003-41400-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,35603,N/A,N/A
9/30/02,2002-41400-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,55460,N/A,N/A
9/30/10,2010-41310-04800,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,72099,N/A,N/A
